ancien_nom,nouveau_nom,nb_dossiers,nb_personnes
Bendokhane,Kheireddine,1,21
Samida,Bousaïda,1,18
Samida,Bousaida,1,8
Kar,Jaballah,1,19
Grine,Benhassen,1,27
Lahzine,Bencaïd,1,34
Methnani,Hajji,1,28
Jamra,Mansouri,1,39
Jourallah,Amri,1,27
Tariak,Jaballah,1,28
Daâbou,Daâboub,1,16
Sebigha,Amri,1,8
Boukuf,Boukima,1,8
Sarrout,Hajji,1,52
Malouk,Malek,1,58
Labghili,Amri,1,22
Ghaoui,Ferdjani,1,7
Haraih,Ghozlani,1,27
Haraifi,Ghoziani,1,18
Abdellaoui,Etthabeti,1,5
Abdellaoui,Khélifi,1,4
Jeblani,Gacemi,1,1
Abdellaoui,Smati,1,2
Baâroussi,Brahmi,1,3
Ghaouiri,Midani,1,17
Jeblaoui,Attabi,1,12
Gharghari,Khamassi,1,7
Jeriouat,Hafaïdhi,1,8
Sadaoui,Saadaoui,1,9
Laouar,Hanzouli,1,6
Gherari,Aloui,1,5
Ayari,Abedi,1,1
Markhi,Gacemi,1,1
Zamali,Nasraoui,1,1
Dhoualfi,Ghozlani,1,14
Abdellaoui,Khelifi,1,11
Heraïfi,Ghozlani,1,1
Taghouti,Khelifi,1,40
Jedaii,Chaibi,1,3
Kheralfi,Gouzlani,1,12
Kheraifi,Gouzlani,1,4
Aouled Jebali,Anaïbi,1,5
Jedaii,Chaïbi,1,1
Abdlaoui,Hamida,1,3
Abdellaoui,Hamida,1,3
Abdlaoui,Thabti,1,1
Abdlaoui,Zidi,1,17
Gargari,Khamassi,1,10
Gargari,M’barki,1,11
Gargari,Khédiri,1,5
Jedaoui,Khédhiri,1,6
Hedaoui,Hanzouli,1,8
Jedai,Chaibi,1,32
Rahmi,Chaabi,1,8
Abdellaoui,Sahraoui,1,2
Jadaoui,Tarfaoui,1,18
Jablani,M'Hamdi,1,13
M'dalali,Marzougui,1,29
Kribi,Tajer,1,18
Jeblaoui,Gharbi,1,20
Gharghari,M’barki,1,6
Zebrazi,Kacemi,1,1
Bougherara,Ghaoui,1,12
Jadaaoui,Khalifi,1,10
Akari,Semi,1,16
Abdellaoui,Khalifi,1,13
Gacemi,Hmida,1,1
Jadanoui,Amira,1,20
Hamlaji,Faldi,1,4
Hamlaji,Faïdi,1,8
Grairia,Aloui,1,2
Hablani,Mahfoudhi,1,9
Boudabous,Rebi,1,1
Zabrasi,Gasmi,1,4
M'delli,Marzouki,1,8
Akaoui,Semi,1,5
Bouali,Nasraoui,1,5
Joubali,Dhaouadi,1,17
Abdellaoui,Salmi,1,5
Abdellaoui,S’mati,1,9
Gharghari,Ghariani,1,1
Abdellaoui,Mahfoudhi,1,1
Ouled Jaballah,Saadaoui,1,3
Abdellaoui,Aloui,1,8
Abdellaoui,Nouira,1,3
Akari,Semî,1,1
Arrouj,Chikhaoui,1,23
Jedaii,Chaibti,1,13
Zlaata,Baaouni,1,4
Kharaih,Ghozlani,1,16
Kharalfi,Ghozlani,1,64
Kharaïfi,Ghozlani,1,15
Khelifi,Aouadi,1,6
Majri,Ghaoui,1,3
Ben Mohamed,Matri,1,1
Ben Hadj Ali,Khiari,1,1
Abidi,Marzouki,1,1
Jelassi,Marzouki,1,1
Ben Brahim,Doufani,1,1
Ben Sliman,Jridi,1,2
Messatra,Jridi,1,1
Fehri,Fehri,1,1
Relhadj,Fehri,1,1
Ben Chkima,Touzri,1,1
Ben Hadj Saâd,Abidi,1,2
Méaiou,Jerbi,1,1
Nekaab,Nakhli,1,1
Aoudj,Benasr,1,1
Ben Boubaker,Cherif,1,1
Karkar,Bechikh,1,7
Ben Ahmed,Bensalah,1,1
Ben Halima,Benhalim,1,7
Douiri,Benhalim,1,4
Ouni,Khalsi,1,9
Ben Youssef,Maoui,1,2
Chaibi,Chaaibi,1,1
Ben Salha,Bousalmi,1,1
Ben Khélifa,Khlifi,1,1
Karek,Dhouibi,1,1
Bousoufa,Garbi,1,2
Baâbaâ,Karkni,1,7
Karkeni,Karkni,1,1
Sardouk,Benhassine,1,7
Ben Hassine,Benhassine,1,1
Kassoumi,Benammar,1,1
Iebali,Khiari,1,4
Garane,Khiari,1,5
Khiari,Khiari,1,1
Bouchlaka,Kasri,1,1
Fattah,Zeibi,1,1
Ben Hadj Abdallah,Fasri,1,1
Alb,"Ber, Amara",1,2
Aib,Ben Amara,1,5
Ayari,Hajaji,1,1
Dridi,Harbaoui,1,2
Ben Ghouma,Harbaoui,1,2
Ouerghemi,Ghezal,1,4
Fellous,Belhassen,1,2
Ben Hassen,Belhassen,1,1
