annee,numero_jort,type,numero,date,objet,listes_publiees,nb_personnes_extraites,pdf
1971,014,DECRET,71-106,23 mars 1971,relatifs au nom patronymique dans les Délégations de Tureau et Monastir (publiés au n° 47 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1971/014.pdf
1971,020,DECRET,71-157,26 avril 1971,"relatifs au nom patronymique dans les délégations de Tataouine, Ghomraem, Mamur, Ras Djebel, Sedjanane, Jendouba, Tadjarouine et Sousse (publiés au n° 48 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1971/020.pdf
1971,027,DECRET,71-245,16 juin 1971,relatif au nom patronymique dans la délégation de Tunis (publié au n° 49 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1971/027.pdf
1971,035,DECRET,71-289,11 août 1971,"relatifs aux noms patronymiques dans les délégations de Djebonians, Sfax, Sidi Ali Ben Nasrallah, Matmata, Metouia, El Hamma, Matmata, Nefza et Testour, Menzel-Temime et Grombalia et El-Outeletia (pub","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1971/035.pdf
1971,037,DECRET,71-324,30 août 1971,relatif au nom patronymique dans la délégation de Makhtar (publié au n° 31 de l'édition nom patronymique),"non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1971/037.pdf
1972,009,DECRET,72-56,24 février 1972,"relatif au nom patronymique dans les délégations de Gabès, Metonia, El Hamma, Mareth, Matmata, Babili et Doua (publié au n° 35 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1972/009.pdf
1972,013,DECRET,72-105,18 mars 1972,"relatifs au nom patronymique dans les délégations de Jemaul, Moknine, M'Saken, Monastir, Ain-Draham et Jendouba (publiés au n° 57 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1972/013.pdf
1972,016,DECRET,72-127,7 avril 1972,relatif au nom patronymique dans la,non (régime non précisé au sommaire),0,https://lake.jort.tn/journal-officiel/fr/1972/016.pdf
1972,019,DECRET,72-165,5 mai 1972,"relatifs au nom patronymique dans les délégations de Tunis, Mornagula, la Manouba, Sousse, Djemmal et Kalsa Kabira (publiés au numéro 59 de l'édition non patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1972/019.pdf
1972,027,DECRET,72-215,23 juin 1972,relatif au nom patronymique,non (régime non précisé au sommaire),0,https://lake.jort.tn/journal-officiel/fr/1972/027.pdf
1972,035,DECRET,72-258,12 août 1972,relatif au nom patronymique,non (régime non précisé au sommaire),0,https://lake.jort.tn/journal-officiel/fr/1972/035.pdf
1973,016,DECRET,73-174,17 avril 1973,"relatifs au nom patronymique dans les délégations de Grombalia, Menzel Temime, Nabeul, Tataouine et Tunis (publiés au N° 68 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1973/016.pdf
1973,025,DECRET,73-304,20 juin 1973,"relatifs au nom patronymique dans les délégations de Bou-Salem, M'Saken, Mabdia, Soume, Monastir, Soussi, Menzel-Bourguiba, Ras-Djebel et Alh Draham (publiés au N° 69 de l'édition nom patronymique)","non (édition spéciale « Nom Patronymique », absente du miroir)",0,https://lake.jort.tn/journal-officiel/fr/1973/025.pdf
1985,059,LOI,85-81,11 août 1985,Attribution d'un nom patronymique aux enfants de filiation inconnue ou abandonnés,s.o. / texte-cadre,0,https://lake.jort.tn/journal-officiel/fr/1985/059.pdf
