adm3_pcode,governorate_name,delegation_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN2460,Siliana,Bargou,18,9,50.0,5,55.6,26.7,81.1,7,77.8,7,0,0,5,0,0,55.6,0.0,0.0,0
TN2461,Siliana,Laroussa,11,3,27.3,3,100.0,43.8,100.0,3,100.0,3,0,0,3,0,0,100.0,0.0,0.0,0
TN3151,Sousse,Sousse Médina,31,16,51.6,12,75.0,50.5,89.8,12,75.0,12,0,0,12,0,0,75.0,0.0,0.0,0
TN3152,Sousse,Sousse Riadh,49,22,44.9,19,86.4,66.7,95.3,24,109.1,24,0,0,19,0,0,86.4,0.0,0.0,0
TN3153,Sousse,Sousse Jaouhara,57,28,49.1,9,32.1,17.9,50.7,9,32.1,9,0,0,9,0,0,32.1,0.0,0.0,0
TN3154,Sousse,Sousse Sidi Abdelhamid,35,12,34.3,11,91.7,64.6,98.5,12,100.0,12,0,0,11,0,0,91.7,0.0,0.0,0
TN3155,Sousse,Hammam Sousse,43,17,39.5,4,23.5,9.6,47.3,5,29.4,5,0,0,4,0,0,23.5,0.0,0.0,0
TN3156,Sousse,Akouda,28,13,46.4,5,38.5,17.7,64.5,5,38.5,5,0,0,5,0,0,38.5,0.0,0.0,0
TN3157,Sousse,Kalaa Kebira,37,10,27.0,6,60.0,31.3,83.2,6,60.0,6,0,0,6,0,0,60.0,0.0,0.0,0
TN3158,Sousse,Sidi Bou Ali,16,7,43.8,2,28.6,8.2,64.1,2,28.6,2,0,0,2,0,0,28.6,0.0,0.0,0
TN3159,Sousse,Hergla,8,2,25.0,2,100.0,34.2,100.0,2,100.0,2,0,0,2,0,0,100.0,0.0,0.0,0
TN3160,Sousse,Enfidha,42,14,33.3,11,78.6,52.4,92.4,12,85.7,12,0,0,11,0,0,78.6,0.0,0.0,1
TN3161,Sousse,Bouficha,23,15,65.2,13,86.7,62.1,96.3,20,133.3,20,0,0,13,0,0,86.7,0.0,0.0,0
TN3162,Sousse,Kondar,12,4,33.3,3,75.0,30.1,95.4,3,75.0,3,0,0,3,0,0,75.0,0.0,0.0,0
TN3163,Sousse,Sidi El Heni,15,4,26.7,4,100.0,51.0,100.0,4,100.0,4,0,0,4,0,0,100.0,0.0,0.0,0
TN3164,Sousse,M'Saken,65,24,36.9,16,66.7,46.7,82.0,20,83.3,20,0,0,16,0,0,66.7,0.0,0.0,0
TN3165,Sousse,Kalaa Sghira,28,8,28.6,6,75.0,40.9,92.9,6,75.0,6,0,0,6,0,0,75.0,0.0,0.0,2
TN3166,Sousse,Zaouia Ksiba Thraya,24,12,50.0,11,91.7,64.6,98.5,12,100.0,11,0,1,11,0,1,91.7,0.0,8.3,0
TN3251,Monastir,Monastir,77,29,37.7,26,89.7,73.6,96.4,40,137.9,36,0,4,25,0,4,86.2,0.0,13.8,1
TN3252,Monastir,Ouerdanine,18,9,50.0,9,100.0,70.1,100.0,13,144.4,13,0,0,9,0,0,100.0,0.0,0.0,0
TN3253,Monastir,Sahline,21,4,19.0,4,100.0,51.0,100.0,6,150.0,6,0,0,4,0,0,100.0,0.0,0.0,1
TN3254,Monastir,Zeramdine,25,9,36.0,4,44.4,18.9,73.3,4,44.4,4,0,0,4,0,0,44.4,0.0,0.0,1
TN3255,Monastir,Beni Hassen,11,6,54.5,6,100.0,61.0,100.0,7,116.7,7,0,0,6,0,0,100.0,0.0,0.0,0
TN3256,Monastir,Jammel,50,24,48.0,21,87.5,69.0,95.7,25,104.2,25,0,0,21,0,0,87.5,0.0,0.0,1
TN3257,Monastir,Bembla,25,8,32.0,8,100.0,67.6,100.0,13,162.5,13,0,0,8,0,0,100.0,0.0,0.0,0
TN3258,Monastir,Moknine,81,32,39.5,12,37.5,22.9,54.7,12,37.5,12,0,0,12,0,0,37.5,0.0,0.0,0
TN3259,Monastir,Bekalta,15,7,46.7,7,100.0,64.6,100.0,12,171.4,12,0,0,7,0,0,100.0,0.0,0.0,0
TN3260,Monastir,Teboulba,27,15,55.6,15,100.0,79.6,100.0,24,160.0,24,0,0,15,0,0,100.0,0.0,0.0,1
TN3261,Monastir,Ksar Hellal,41,15,36.6,14,93.3,70.2,98.8,14,93.3,14,0,0,14,0,0,93.3,0.0,0.0,0
TN3262,Monastir,Ksibet El Mediouni,27,11,40.7,4,36.4,15.2,64.6,4,36.4,4,0,0,4,0,0,36.4,0.0,0.0,0
TN3263,Monastir,Sayada-Lamta-Bou Hjar,23,10,43.5,8,80.0,49.0,94.3,11,110.0,11,0,0,8,0,0,80.0,0.0,0.0,1
TN3351,Mahdia,Mahdia,69,26,37.7,5,19.2,8.5,37.9,5,19.2,5,0,0,5,0,0,19.2,0.0,0.0,0
TN3352,Mahdia,Boumerdès,28,14,50.0,12,85.7,60.1,96.0,13,92.9,13,0,0,12,0,0,85.7,0.0,0.0,0
TN3353,Mahdia,Ouled Chamekh,23,14,60.9,8,57.1,32.6,78.6,8,57.1,8,0,0,8,0,0,57.1,0.0,0.0,1
TN3354,Mahdia,Chorbane,26,10,38.5,6,60.0,31.3,83.2,9,90.0,9,0,0,6,0,0,60.0,0.0,0.0,0
TN3355,Mahdia,Hbira,12,7,58.3,6,85.7,48.7,97.4,11,157.1,11,0,0,6,0,0,85.7,0.0,0.0,0
TN3356,Mahdia,Souassi,48,18,37.5,15,83.3,60.8,94.2,16,88.9,16,0,0,15,0,0,83.3,0.0,0.0,0
TN3357,Mahdia,El Jem,40,15,37.5,13,86.7,62.1,96.3,14,93.3,14,0,0,13,0,0,86.7,0.0,0.0,0
TN3358,Mahdia,Chebba,26,9,34.6,8,88.9,56.5,98.0,8,88.9,8,0,0,8,0,0,88.9,0.0,0.0,0
TN3359,Mahdia,Melloulech,19,6,31.6,6,100.0,61.0,100.0,8,133.3,8,0,0,6,0,0,100.0,0.0,0.0,0
TN3360,Mahdia,Sidi Alouane,36,13,36.1,9,69.2,42.4,87.3,10,76.9,10,0,0,9,0,0,69.2,0.0,0.0,1
TN3361,Mahdia,Ksour Essef,46,19,41.3,10,52.6,31.7,72.7,11,57.9,11,0,0,10,0,0,52.6,0.0,0.0,0
TN3451,Sfax,Sfax Médina,76,29,38.2,16,55.2,37.5,71.6,16,55.2,16,0,0,16,0,0,55.2,0.0,0.0,1
TN3452,Sfax,Sfax Ouest,77,33,42.9,21,63.6,46.6,77.8,22,66.7,22,0,0,21,0,0,63.6,0.0,0.0,0
TN3453,Sfax,Sakiet Ezzit,78,25,32.1,4,16.0,6.4,34.7,4,16.0,4,0,0,4,0,0,16.0,0.0,0.0,0
TN3454,Sfax,Sakiet Eddaier,81,39,48.1,5,12.8,5.6,26.7,5,12.8,5,0,0,5,0,0,12.8,0.0,0.0,0
TN3455,Sfax,Sfax Sud,87,40,46.0,20,50.0,35.2,64.8,23,57.5,23,0,0,20,0,0,50.0,0.0,0.0,0
