election,doc_type,collection,scope,governorate,delegation,constituency,sector,polling_centre,bureau_folder,bureau_code,filename,file_ext,file_url,path
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,التعمير,م إبتدائية حي التعمير 1 أريانة,,03010410102,03010410102.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي التعمير 1 أريانة/03010410102.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي التعمير 1 أريانة/03010410102.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,التعمير,م إبتدائية حي التعمير 1 أريانة,,03010410103,03010410103.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي التعمير 1 أريانة/03010410103.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي التعمير 1 أريانة/03010410103.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,التعمير,م إبتدائية حي الفردوس أريانة-التعمير,,03010410201,03010410201.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي الفردوس أريانة-التعمير/03010410201.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي الفردوس أريانة-التعمير/03010410201.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,التعمير,م إبتدائية حي الفردوس أريانة-التعمير,,03010410202,03010410202.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي الفردوس أريانة-التعمير/03010410202.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي الفردوس أريانة-التعمير/03010410202.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,التعمير,م إبتدائية حي الفردوس أريانة-التعمير,,03010410203,03010410203.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي الفردوس أريانة-التعمير/03010410203.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي الفردوس أريانة-التعمير/03010410203.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,التعمير,م إبتدائية حي الفردوس أريانة-التعمير,,03010410204,03010410204.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي الفردوس أريانة-التعمير/03010410204.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/التعمير/م إبتدائية حي الفردوس أريانة-التعمير/03010410204.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,المنزه الخامس,المدرسة الإعدادية بالمنزه 5,,03010510101,03010510101.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/المدرسة الإعدادية بالمنزه 5/03010510101.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/المدرسة الإعدادية بالمنزه 5/03010510101.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,المنزه الخامس,المدرسة الإعدادية بالمنزه 5,,03010510102,03010510102.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/المدرسة الإعدادية بالمنزه 5/03010510102.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/المدرسة الإعدادية بالمنزه 5/03010510102.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,المنزه الخامس,المدرسة الإعدادية بالمنزه 5,,03010510103,03010510103.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/المدرسة الإعدادية بالمنزه 5/03010510103.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/المدرسة الإعدادية بالمنزه 5/03010510103.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,المنزه الخامس,م إبتدائية المنزه الخامس 1 شارع افريقيا,,03010510201,03010510201.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/م إبتدائية المنزه الخامس 1 شارع افريقيا/03010510201.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/م إبتدائية المنزه الخامس 1 شارع افريقيا/03010510201.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,المنزه الخامس,م إبتدائية المنزه الخامس 1 شارع افريقيا,,03010510202,03010510202.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/م إبتدائية المنزه الخامس 1 شارع افريقيا/03010510202.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/م إبتدائية المنزه الخامس 1 شارع افريقيا/03010510202.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,المنزه الخامس,م إبتدائية المنزه الخامس 1 شارع افريقيا,,03010510203,03010510203.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/م إبتدائية المنزه الخامس 1 شارع افريقيا/03010510203.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/م إبتدائية المنزه الخامس 1 شارع افريقيا/03010510203.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,المنزه الخامس,م إبتدائية المنزه الخامس 1 شارع افريقيا,,03010510204,03010510204.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/م إبتدائية المنزه الخامس 1 شارع افريقيا/03010510204.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه الخامس/م إبتدائية المنزه الخامس 1 شارع افريقيا/03010510204.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,المنزه السادس,م.إعدادية المنزه السادس,,03010610201,03010610201.pdf,pdf,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه السادس/م.إعدادية المنزه السادس/03010610201.pdf,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه السادس/م.إعدادية المنزه السادس/03010610201.pdf
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,المنزه السادس,م.إعدادية المنزه السادس,,03010610202,03010610202.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه السادس/م.إعدادية المنزه السادس/03010610202.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه السادس/م.إعدادية المنزه السادس/03010610202.JPG
presidentielle_2024,pv_centre_vote,PvCvPresidentielle24,,أريانة,أريانة المدينة,,المنزه السادس,م.إعدادية المنزه السادس,,03010610203,03010610203.JPG,jpg,https://www.isie.tn/wp-content/uploads/2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه السادس/م.إعدادية المنزه السادس/03010610203.JPG,2024/PvCvPresidentielle24/أريانة/أريانة المدينة/المنزه السادس/م.إعدادية المنزه السادس/03010610203.JPG
