governorate_ar,constituency_ar,delegation_ar,imada_ar,centre_name_ar,centre_name_fr,ussd_code,governorate,source_page
القريوان,القريوان,القريوان الجنوبية,زعفرانة,م إبتدائية زعفرانة,E.P.ZAAFRANA,3037,القيروان,39
القريوان,القريوان,القريوان الجنوبية,زعفرانة,م إبتدائية سيدي عمر الكنان - زعفرانة,E.P.SIDI AMOR EL KNANI ZAAFRANA,3038,القيروان,39
القريوان,القريوان,القريوان الجنوبية,مرق الليل,م إبتدائية مرق الليل,E.P.MARGUELLIL,3039,القيروان,39
القريوان,القريوان,القريوان الشمالية,الأغالبة,م إ الأغالبة,E.P EL AGHALBA,3040,القيروان,39
القريوان,القريوان,القريوان الشمالية,الأغالبة,م إبتدائية ابن عرفة - الأغالبة,E.P.IBN ARFA AGHALBA,3041,القيروان,39
القريوان,القريوان,القريوان الشمالية,الأغالبة,م إبتدائية عقبة ابن نافع - الأغالبة,E.P.OKBA IBN NAFAA AGHALBA,3042,القيروان,39
القريوان,القريوان,القريوان الشمالية,الباطن,م إبتدائية الباطن,E.P.BATEN,3043,القيروان,39
القريوان,القريوان,القريوان الشمالية,الباطن,م إبتدائية القطرانية - الباطن,E.P.EL  GATRANIA BATEN,3044,القيروان,39
القريوان,القريوان,القريوان الشمالية,الجامع الجنوبية,م إبتدائية التطبيقية الأسوار - ح الجامع الجنون,E.APPL.ELASOUAR  - CITÉ MOSQUE SUD,3045,القيروان,39
القريوان,القريوان,القريوان الشمالية,الجامع الشمالية,م إبتدائية أولاد فرحان - ح الجامع الشمال,E.P.OULED FARHANE  - CITÉ MOSQUE NORD,3046,القيروان,39
القريوان,القريوان,القريوان الشمالية,الجبلية الشمالية,م إبتدائية ابن الجزار الرحبة - الجبلية الشمالية,E.P.IBN JAZZAR ERAHBA JEBLIA NORD,3047,القيروان,39
القريوان,القريوان,القريوان الشمالية,الجبلية الشمالية,م إبتدائية أبو زمعة البلوي - الجبلية الشمالية,E.P.A.Z. EL BALAOUI JEBLIA NORD,3048,القيروان,39
القريوان,القريوان,القريوان الشمالية,الجبلية الشمالية,م إبتدائية الصحان 2 - الجبلية الشمالية,E.P.SAHABI 2 - JEBLIA NORD,3049,القيروان,39
القريوان,القريوان,القريوان الشمالية,الجبلية الشمالية,م إبتدائية الصحان4 - الجبلية الشمالية,E.P.SAHABI 4 - JEBLIA NORD,3050,القيروان,39
القريوان,القريوان,القريوان الشمالية,الجبلية الشمالية,م إبتدائية دار الأمان - الجبلية الشمالية,E.P.DAR EL AMAN - JEBLIA NORD,3051,القيروان,39
القيوان ر,القيوان ر,القيوان الشمالية ر,الجبلية الشمالية,م إبتدائية رياض سحنون - الجبلية الشمالية,E.P.RIADH SAHNOUN - JEBLIA NORD,3052,القيروان,39
القيوان ر,القيوان ر,القيوان الشمالية ر,الجبلية الشمالية,م إبتدائية غرن القيوان - الجبلية الشمالية ر,E.P.KAIR OUEST - JEBLIA NORD,3053,القيروان,39
القيوان ر,القيوان ر,القيوان الشمالية ر,الغابات,م إبتدائية الغابات,E.P.GHABATE,3054,القيروان,39
القيوان ر,القيوان ر,القيوان الشمالية ر,الغابات,م إبتدائية المرازيق - الغابات,E.P.MRAZIG GHABATE,3055,القيروان,39
القيوان ر,القيوان ر,القيوان الشمالية ر,الغابات,م إبتدائية أولاد حمودة - الغابات,E.P.OULED HAMMOUDA GHABATE,3056,القيروان,39
القريوان,القريوان,القريوان الشمالية,القبلية الشمالية,المدرسة الإعدادية الحضي,COLLEGE  AL HASRI,3057,القيروان,39
القريوان,القريوان,القريوان الشمالية,القبلية الشمالية,م إ الهدى,E.P.EL HOUDA  GABLIA NORD,3058,القيروان,39
القريوان,القريوان,القريوان الشمالية,المتبسطة,م إبتدائية المتبسطة,E.P.MOUTBASSETA,3059,القيروان,39
القريوان,القريوان,القريوان الشمالية,المنشية,م إبتدائية المنشية 1,E.P.MENCHIA 1,3060,القيروان,39
القريوان,القريوان,القريوان الشمالية,المنشية,م إبتدائية المنشية 2,E.P.MENCHIA 2,3061,القيروان,39
القريوان,القريوان,القريوان الشمالية,المنشية,م إبتدائية ح النور - المنشية,E.P.CITE ENNOUR MENCHIA,3062,القيروان,39
القريوان,القريوان,القريوان الشمالية,ذراع التمار,م إبتدائية ذراع التمار,E.P.DHRAA TAMMAR,3063,القيروان,39
القريوان,القريوان,القريوان الشمالية,ذراع التمار,م إبتدائية ماجل السعايدية - ذراع التمار,E.P.MAJEL SAADIA DHRAA ETTAMAR,3064,القيروان,39
القريوان,القريوان,الوسلاتية,البحاير,م إبتدائية ابن سينا - البحاير,E.P.IBN SINA - EL BAHAER,3065,القيروان,39
القريوان,القريوان,الوسلاتية,البحاير,م إبتدائية العثامنية - البحاير,E.P.ATHAAMNIA - EL BAHAER,3066,القيروان,39
القريوان,القريوان,الوسلاتية,البحاير,م إبتدائية القمبورة - البحاير,E.P.GAMBOURA - EL BAHAER,3067,القيروان,40
القريوان,القريوان,الوسلاتية,البحاير,م إبتدائية سيدي عمارة - البحاير,E.P.SIDI AMARA - EL BAHAER,3068,القيروان,40
القريوان,القريوان,الوسلاتية,الميل,م إبتدائية المرقب - الميل,E.P.MARGUEB - EL MENZEL,3069,القيروان,40
القريوان,القريوان,الوسلاتية,الميل,م إبتدائية المعازيل - الميل,E.P.MAAZIL - EL MENZEL,3070,القيروان,40
القريوان,القريوان,الوسلاتية,الميل,م إبتدائية سيدي الريمان - الميل,E.P.SIDI ALI RIMANI EL MENZEL,3071,القيروان,40
القريوان,القريوان,الوسلاتية,ر الوسلاتية الشقية,ر م إبتدائية ح الصنوبر - الوسلاتية الشقية,E.P.CITE ESSANAOUBER OUESLETIA EST,3072,القيروان,40
القريوان,القريوان,الوسلاتية,الوسلاتية الغربية,م إبتدائية 41 جانف الوسلاتية - الوسلاتية الغربية,E.P.14 JANVIER OUESLETIA EST,3073,القيروان,40
القريوان,القريوان,الوسلاتية,الوسلاتية الغربية,م إبتدائية الامتياز - الوسلاتية الغربية,E.P.EL IMTIEZ OUESLETIA EST,3074,القيروان,40
القريوان,القريوان,الوسلاتية,الوسلاتية الغربية,م إبتدائية حشاد الوسلاتية - الوسلاتية الغربية,E.P.AVENUE HACHED OUESLETIA,3075,القيروان,40
