adm3_pcode,id_delegation,delegation_name,delegation_name_ar,governorate_name,governorate_name_ar,region_name,lat,lon,area_sqkm,n_stations,n_certified,registered,voters,valid,blank,spoilt,turnout_stations,turnout_registered,turnout_voters,saied,saied_share_pct,saied_margin_pp,zammel,zammel_share_pct,zammel_margin_pp,maghzaoui,maghzaoui_share_pct,maghzaoui_margin_pp,candidate_sum,winner,runner_up,margin_pp,turnout_pct,turnout_coverage_pct
TN1565,1565,Bou Argoub,بوعرقوب,Nabeul,نابل,North East,36.52836071,10.57017213,131.5710453,28,28,21074,9577,9259,73,245,25,21074,8494,8885,95.9607,92.9582,278,3.0025,-92.9582,96,1.0368,-94.9239,9259,saied,zammel,92.9582,40.3056,89.2857
TN1566,1566,Hammamet,الحمامات,Nabeul,نابل,North East,36.40855103,10.50852043,322.20994466,77,77,76129,23458,25424,266,780,64,67691,22323,23368,91.9132,85.4429,1645,6.4703,-85.4429,411,1.6166,-90.2966,25424,saied,zammel,85.4429,32.9778,83.1169
TN1651,1651,Zaghouan,زغوان,Zaghouan,زغوان,North East,36.41433327,10.2027051,420.1027271,37,37,31895,11812,11321,159,332,35,31895,10985,10536,93.0660,87.6071,618,5.4589,-87.6071,167,1.4751,-91.5908,11321,saied,zammel,87.6071,34.4411,94.5946
TN1652,1652,Zriba,الزريبة,Zaghouan,زغوان,North East,36.31414904,10.22297504,339.42691661,19,19,18090,8042,7764,88,190,18,17879,7435,7461,96.0974,93.1350,230,2.9624,-93.1350,73,0.9402,-95.1571,7764,saied,zammel,93.1350,41.5851,94.7368
TN1653,1653,Bir Mchergua,بئر مشارقة,Zaghouan,زغوان,North East,36.52811289,9.99805805,534.82514288,22,20,16751,6347,6110,55,182,20,16474,5923,5583,95.5666,92.0575,205,3.5091,-92.0575,54,0.9243,-94.6422,5842,saied,zammel,92.0575,35.9536,90.9091
TN1654,1654,Fahs,الفحص,Zaghouan,زغوان,North East,36.27018181,9.83275369,926.58824848,48,44,32097,11089,10661,126,302,42,32097,10743,10221,95.8728,92.8994,317,2.9735,-92.8994,123,1.1537,-94.7191,10661,saied,zammel,92.8994,33.4704,87.5000
TN1655,1655,Nadhour,الناظور,Zaghouan,زغوان,North East,36.11174591,9.98726581,355.63888104,29,29,24367,8708,8452,104,152,29,24367,8708,8004,94.6995,90.7951,330,3.9044,-90.7951,118,1.3961,-93.3034,8452,saied,zammel,90.7951,35.7369,100.0000
TN1656,1656,Saouaf,صواف,Zaghouan,زغوان,North East,36.21554523,10.15004468,260.99377931,15,12,6975,2816,2684,45,87,12,6975,2816,2615,97.4292,96.0134,38,1.4158,-96.0134,31,1.1550,-96.2742,2684,saied,zammel,96.0134,40.3728,80.0000
TN1751,1751,Bizerte Nord,بنزرت الشمالية,Bizerte,بنزرت,North East,37.30096604,9.82578078,54.46742304,74,73,71833,17792,17728,349,780,65,69396,17231,14870,83.8786,70.6002,2354,13.2784,-70.6002,504,2.8430,-81.0356,17728,saied,zammel,70.6002,24.8300,87.8378
TN1752,1752,Jarzouna,جرزونة,Bizerte,بنزرت,North East,37.25783517,9.88542248,5.53885403,20,20,19337,5859,5855,76,299,18,19337,5577,5427,92.6900,86.9001,339,5.7899,-86.9001,89,1.5201,-91.1699,5855,saied,zammel,86.9001,28.8411,90.0000
TN1753,1753,Bizerte Sud,بنزرت الجنوبية,Bizerte,بنزرت,North East,37.25837604,9.66796043,406.17535643,42,42,39762,12018,11196,142,680,40,39575,11354,10721,95.7574,92.5330,361,3.2244,-92.5330,114,1.0182,-94.7392,11196,saied,zammel,92.5330,28.6898,95.2381
TN1754,1754,Sejnane,سجنان,Bizerte,بنزرت,North East,37.13705026,9.23608518,626.83871136,40,40,30268,9036,8607,101,475,36,29424,8473,8326,96.7352,94.7252,173,2.0100,-94.7252,108,1.2548,-95.4804,8607,saied,zammel,94.7252,28.7962,90.0000
TN1755,1755,Joumine,جومين,Bizerte,بنزرت,North East,36.87807766,9.44760978,552.12554169,32,32,22902,7355,6806,92,457,31,22902,7269,6636,97.5022,95.8419,113,1.6603,-95.8419,57,0.8375,-96.6647,6806,saied,zammel,95.8419,31.7396,96.8750
TN1756,1756,Mateur,ماطر,Bizerte,بنزرت,North East,36.98609659,9.67091596,564.40204392,40,40,33906,11245,10970,118,517,35,32614,10372,10541,96.0893,93.2543,311,2.8350,-93.2543,118,1.0757,-95.0137,10970,saied,zammel,93.2543,31.8023,87.5000
TN1757,1757,Ghazala,غزالة,Bizerte,بنزرت,North East,37.07913556,9.48563124,409.79317859,29,29,19049,5934,5584,86,396,26,18353,5288,5455,97.6898,96.3467,75,1.3431,-96.3467,54,0.9670,-96.7228,5584,saied,zammel,96.3467,28.8127,89.6552
TN1758,1758,Menzel Bourguiba,منزل بورقيبة,Bizerte,بنزرت,North East,37.10670497,9.85806737,128.49862656,47,47,45900,13530,13707,151,670,44,45704,13233,13011,94.9223,90.9535,544,3.9688,-90.9535,152,1.1089,-93.8134,13707,saied,zammel,90.9535,28.9537,93.6170
TN1759,1759,Tinja,تينجة,Bizerte,بنزرت,North East,37.12975971,9.66529718,60.82918998,17,17,16595,5465,5170,85,210,16,16595,5026,4862,94.0426,89.1296,254,4.9130,-89.1296,54,1.0445,-92.9981,5170,saied,zammel,89.1296,30.2862,94.1176
TN1760,1760,Utique,أوتيك,Bizerte,بنزرت,North East,37.03454052,9.95989981,381.34889498,19,19,13433,4880,4569,52,235,16,13433,4217,4374,95.7321,92.6461,141,3.0860,-92.6461,54,1.1819,-94.5502,4569,saied,zammel,92.6461,31.3928,84.2105
TN1761,1761,Ghar El Melh,غار الملح,Bizerte,بنزرت,North East,37.14481391,10.09282519,92.32732974,18,18,14421,4745,4491,67,187,15,14297,3913,4089,91.0488,83.2554,350,7.7934,-83.2554,52,1.1579,-89.8909,4491,saied,zammel,83.2554,27.3694,83.3333
TN1762,1762,Menzel Jemil,منزل جميل,Bizerte,بنزرت,North East,37.203524,9.98220405,82.51266613,40,40,35675,9667,10492,99,476,34,35675,9085,9702,92.4705,86.4278,634,6.0427,-86.4278,156,1.4868,-90.9836,10492,saied,zammel,86.4278,25.4660,85.0000
TN1763,1763,El Alia,العالية,Bizerte,بنزرت,North East,37.15822259,9.9992804,84.94324263,24,23,18823,5020,4841,86,207,20,18183,4581,4249,87.7711,77.6079,492,10.1632,-77.6079,100,2.0657,-85.7054,4841,saied,zammel,77.6079,25.1939,83.3333
TN1764,1764,Ras Jebel,راس الجبل,Bizerte,بنزرت,North East,37.2225953,10.08563187,84.11798391,51,51,46872,14398,13879,166,552,46,46872,13125,12655,91.1809,84.0767,986,7.1043,-84.0767,238,1.7148,-89.4661,13879,saied,zammel,84.0767,28.0018,90.1961
TN2151,2151,Béja Nord,باجة الشمالية,Béja,باجة,North West,36.80427185,9.24308319,427.80458594,62,62,59563,18017,17434,271,713,60,58678,17897,16443,94.3157,89.7786,791,4.5371,-89.7786,200,1.1472,-93.1685,17434,saied,zammel,89.7786,30.5004,96.7742
TN2152,2152,Béja Sud,باجة الجنوبية,Béja,باجة,North West,36.63597585,9.17643322,364.56110333,31,31,29961,10007,9411,137,459,30,29961,9716,8815,93.6670,88.6835,469,4.9835,-88.6835,127,1.3495,-92.3175,9411,saied,zammel,88.6835,32.4288,96.7742
TN2153,2153,Amdoun,عمدون,Béja,باجة,North West,36.77729656,9.028602,238.3557492,23,23,16789,5916,5494,61,361,22,16720,5589,5281,96.1230,93.5930,139,2.5300,-93.5930,74,1.3469,-94.7761,5494,saied,zammel,93.5930,33.4270,95.6522
TN2154,2154,Nefza,نفزة,Béja,باجة,North West,36.98823737,9.06923051,592.92172065,47,47,42378,12637,11880,164,593,47,42378,12637,11259,94.7727,91.9865,331,2.7862,-91.9865,290,2.4411,-92.3316,11880,saied,zammel,91.9865,29.8197,100.0000
TN2155,2155,Téboursouk,تبرسق,Béja,باجة,North West,36.45975879,9.23495187,395.45059172,24,24,19347,5675,5329,89,257,24,19347,5675,5135,96.3595,93.6573,144,2.7022,-93.6573,50,0.9383,-95.4213,5329,saied,zammel,93.6573,29.3327,100.0000
TN2156,2156,Thibar,تيبار,Béja,باجة,North West,36.51865164,9.10885056,114.42067392,10,10,8858,3033,2834,32,167,10,8858,3033,2755,97.2124,95.3423,53,1.8701,-95.3423,26,0.9174,-96.2950,2834,saied,zammel,95.3423,34.2402,100.0000
TN2157,2157,Testour,تستور,Béja,باجة,North West,36.5932285,9.41087402,642.6782112,36,36,26018,9783,9331,131,321,35,26018,9475,8894,95.3167,92.1552,295,3.1615,-92.1552,142,1.5218,-93.7949,9331,saied,zammel,92.1552,36.4171,97.2222
TN2158,2158,Goubellat,قبلاط,Béja,باجة,North West,36.52830567,9.68761683,415.57994341,17,17,13097,3150,2969,59,122,17,13097,3150,2889,97.3055,95.6551,49,1.6504,-95.6551,31,1.0441,-96.2614,2969,saied,zammel,95.6551,24.0513,100.0000
