date,year,language,slug,title_from_slug,attachments,section,source_url,drive_folder_id
2019-06-27,2019,fr,elections-2019-la-liste-des-bureaux-dinscription-fixes-la-mise-a-jour-du-jeudi-27-juin-2019,elections 2019 la liste des bureaux dinscription fixes la mise a jour du jeudi 27 juin 2019,0,actualites,https://www.isie.tn/actualites/2019/06/27/elections-2019-la-liste-des-bureaux-dinscription-fixes-la-mise-a-jour-du-jeudi-27-juin-2019/,1BYvFYIWi5VAjDUMoA8Lb9SJ1OIqOO-vX
2019-07-31,2019,fr,les-principales-etapes-des-elections-presidentielles-septembre-2019,les principales etapes des elections presidentielles septembre 2019,0,actualites,https://www.isie.tn/actualites/2019/07/31/les-principales-etapes-des-elections-presidentielles-septembre-2019/,1sZNCuNLTmei07fIk9jS7OnNRrnUW1LXP
2019-08-01,2019,fr,guide-des-candidatures-election-presidentielle-anticipee-2019,guide des candidatures election presidentielle anticipee 2019,0,actualites,https://www.isie.tn/actualites/2019/08/01/guide-des-candidatures-election-presidentielle-anticipee-2019/,1a-XQBJhv7SugX5T_qCWkvYzAMoaMqwpS
2019-08-31,2019,fr,guide-des-regles-et-des-procedures-de-la-campagne-electorale-des-elections-presidentielles-et-legislatives-2019,guide des regles et des procedures de la campagne electorale des elections presidentielles et legislatives 2019,0,actualites,https://www.isie.tn/actualites/2019/08/31/guide-des-regles-et-des-procedures-de-la-campagne-electorale-des-elections-presidentielles-et-legislatives-2019/,1eRERilMyF5nig9WBN9u9aZpb9Du4A0fG
2019-08-31,2019,fr,guide-du-financement-de-la-campagne-electorale-pour-les-elections-legislatives-et-presidentielles-2019,guide du financement de la campagne electorale pour les elections legislatives et presidentielles 2019,0,actualites,https://www.isie.tn/actualites/2019/08/31/guide-du-financement-de-la-campagne-electorale-pour-les-elections-legislatives-et-presidentielles-2019/,1p9djHzcCNXgQfNbZoYd9E2R8aSU9wFhj
2019-09-11,2019,fr,la-liste-finale-des-listes-candidates-aux-elections-legislatives-de-2019-enregistrement-vocal,la liste finale des listes candidates aux elections legislatives de 2019 enregistrement vocal,0,actualites,https://www.isie.tn/actualites/2019/09/11/la-liste-finale-des-listes-candidates-aux-elections-legislatives-de-2019-enregistrement-vocal/,1exGnyJfn2P3bIg5SOJlNhBWV981NI_AL
2019-11-26,2019,fr,rapport-des-elections-municipales-2018,rapport des elections municipales 2018,0,actualites,https://www.isie.tn/actualites/2019/11/26/rapport-des-elections-municipales-2018/,10ANt3gsosVAHq6W-xfda8vz5y2sUFfts
2020-06-23,2020,fr,guide-des-candidatures-des-elections-municipales-partielles,guide des candidatures des elections municipales partielles,0,actualites,https://www.isie.tn/actualites/2020/06/23/guide-des-candidatures-des-elections-municipales-partielles/,12B_4O83zjdHz0YeO9RukG-9oPT1fhrgg
2020-07-20,2020,fr,centre-de-vote-pour-les-elections-municipales-partielles-aout-2020,centre de vote pour les elections municipales partielles aout 2020,0,actualites,https://www.isie.tn/actualites/2020/07/20/centre-de-vote-pour-les-elections-municipales-partielles-aout-2020/,1LPsHhp1RgzBtw4fZt5liQMPhqSyrxMXQ
2020-10-08,2020,fr,candidatures-elections-decembre-2020,candidatures elections decembre 2020,0,actualites,https://www.isie.tn/actualites/2020/10/08/candidatures-elections-decembre-2020/,1FpXMMp6ZkBVUhqiAWYopwTy6Vznd9VOd
2020-11-12,2020,fr,الترشّحات-السرس,الترشّحات السرس,0,actualites,https://www.isie.tn/actualites/2020/11/12/الترشّحات-السرس/,1pbfz2w31TaVOWQ-A9zKtvkw2E9iwE0W6
2020-11-17,2020,fr,دليل-تمويل-الحملة-الانتخابية-2,دليل تمويل الحملة الانتخابية 2,0,actualites,https://www.isie.tn/actualites/2020/11/17/دليل-تمويل-الحملة-الانتخابية-2/,1g7pD2j581EMuo_j_8DiC_hKtOB-06k4Z
