round,centre,rank,rank_check,candidate,candidate_full,votes,share_pct,share_check,centre_valid_votes
r1,القصرين,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,9951,10.15,agree,98008
r1,القصرين,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,5723,5.84,agree,98008
r1,سيدي بوزيد,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,168,0.16,agree,107057
r1,سيدي بوزيد,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,85,0.08,agree,107057
r1,سيدي بوزيد,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,185,0.17,agree,107057
r1,سيدي بوزيد,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,247,0.23,agree,107057
r1,سيدي بوزيد,5,agree,سالم شائبي,سالم بن عمار الشائبي,256,0.24,agree,107057
r1,سيدي بوزيد,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,1484,1.39,agree,107057
r1,سيدي بوزيد,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,20302,18.96,agree,107057
r1,سيدي بوزيد,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,1135,1.06,agree,107057
r1,سيدي بوزيد,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,522,0.49,agree,107057
r1,سيدي بوزيد,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,117,0.11,agree,107057
r1,سيدي بوزيد,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,635,0.59,agree,107057
r1,سيدي بوزيد,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,88,0.08,agree,107057
r1,سيدي بوزيد,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,379,0.35,agree,107057
r1,سيدي بوزيد,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,129,0.12,agree,107057
r1,سيدي بوزيد,15,agree,علي شورابي,علي المولدي بن محمد شورابي,116,0.11,agree,107057
r1,سيدي بوزيد,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,217,0.2,agree,107057
r1,سيدي بوزيد,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,323,0.3,agree,107057
r1,سيدي بوزيد,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,134,0.13,agree,107057
r1,سيدي بوزيد,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,184,0.17,agree,107057
r1,سيدي بوزيد,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,129,0.12,agree,107057
r1,سيدي بوزيد,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,345,0.32,agree,107057
r1,سيدي بوزيد,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,65,0.06,agree,107057
r1,سيدي بوزيد,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,388,0.36,agree,107057
r1,سيدي بوزيد,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,11163,10.43,agree,107057
r1,سيدي بوزيد,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,248,0.23,agree,107057
r1,سيدي بوزيد,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,62804,58.66,agree,107057
r1,سيدي بوزيد,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,5209,4.87,agree,107057
r1,قفصة,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,150,0.16,agree,95291
r1,قفصة,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,79,0.08,agree,95291
r1,قفصة,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,268,0.28,agree,95291
r1,قفصة,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,294,0.31,agree,95291
r1,قفصة,5,agree,سالم شائبي,سالم بن عمار الشائبي,104,0.11,agree,95291
r1,قفصة,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,285,0.3,agree,95291
r1,قفصة,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,23345,24.5,agree,95291
r1,قفصة,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,4983,5.23,agree,95291
r1,قفصة,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,162,0.17,agree,95291
r1,قفصة,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,111,0.12,agree,95291
r1,قفصة,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,3916,4.11,agree,95291
r1,قفصة,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,135,0.14,agree,95291
r1,قفصة,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,501,0.53,agree,95291
r1,قفصة,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,148,0.16,agree,95291
r1,قفصة,15,agree,علي شورابي,علي المولدي بن محمد شورابي,130,0.14,agree,95291
r1,قفصة,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,209,0.22,agree,95291
r1,قفصة,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,216,0.23,agree,95291
r1,قفصة,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,127,0.13,agree,95291
r1,قفصة,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,89,0.09,agree,95291
r1,قفصة,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,86,0.09,agree,95291
r1,قفصة,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,421,0.44,agree,95291
r1,قفصة,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,47,0.05,agree,95291
r1,قفصة,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,233,0.24,agree,95291
r1,قفصة,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,44453,46.65,agree,95291
r1,قفصة,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,140,0.15,agree,95291
r1,قفصة,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,6458,6.78,agree,95291
r1,قفصة,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,8201,8.61,agree,95291
r1,توزر,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,104,0.29,agree,35760
r1,توزر,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,36,0.1,agree,35760
r1,توزر,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,142,0.4,agree,35760
r1,توزر,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,125,0.35,agree,35760
r1,توزر,5,agree,سالم شائبي,سالم بن عمار الشائبي,62,0.17,agree,35760
r1,توزر,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,76,0.21,agree,35760
r1,توزر,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,8702,24.33,agree,35760
r1,توزر,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,2317,6.48,agree,35760
r1,توزر,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,67,0.19,agree,35760
r1,توزر,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,61,0.17,agree,35760
r1,توزر,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,249,0.7,agree,35760
r1,توزر,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,51,0.14,agree,35760
r1,توزر,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,533,1.49,agree,35760
r1,توزر,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,53,0.15,agree,35760
r1,توزر,15,agree,علي شورابي,علي المولدي بن محمد شورابي,67,0.19,agree,35760
r1,توزر,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,93,0.26,agree,35760
r1,توزر,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,121,0.34,agree,35760
r1,توزر,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,56,0.16,agree,35760
r1,توزر,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,44,0.12,agree,35760
r1,توزر,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,90,0.25,agree,35760
r1,توزر,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,190,0.53,agree,35760
r1,توزر,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,36,0.1,agree,35760
r1,توزر,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,118,0.33,agree,35760
r1,توزر,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,20306,56.78,agree,35760
r1,توزر,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,49,0.14,agree,35760
r1,توزر,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,964,2.7,agree,35760
r1,توزر,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,1048,2.93,agree,35760
r1,صفاقس 1,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,170,0.13,agree,129021
r1,صفاقس 1,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,70,0.05,agree,129021
r1,صفاقس 1,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,1043,0.81,agree,129021
r1,صفاقس 1,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,685,0.53,agree,129021
r1,صفاقس 1,5,agree,سالم شائبي,سالم بن عمار الشائبي,215,0.17,agree,129021
r1,صفاقس 1,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,371,0.29,agree,129021
r1,صفاقس 1,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,36652,28.41,agree,129021
r1,صفاقس 1,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,3468,2.69,agree,129021
r1,صفاقس 1,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,164,0.13,agree,129021
r1,صفاقس 1,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,175,0.14,agree,129021
r1,صفاقس 1,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,932,0.72,agree,129021
r1,صفاقس 1,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,84,0.07,agree,129021
r1,صفاقس 1,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1479,1.15,agree,129021
r1,صفاقس 1,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,185,0.14,agree,129021
r1,صفاقس 1,15,agree,علي شورابي,علي المولدي بن محمد شورابي,129,0.1,agree,129021
r1,صفاقس 1,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,2641,2.05,agree,129021
r1,صفاقس 1,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,210,0.16,agree,129021
r1,صفاقس 1,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,127,0.1,agree,129021
r1,صفاقس 1,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,126,0.1,agree,129021
r1,صفاقس 1,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,144,0.11,agree,129021
r1,صفاقس 1,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,838,0.65,agree,129021
r1,صفاقس 1,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,75,0.06,agree,129021
r1,صفاقس 1,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,285,0.22,agree,129021
r1,صفاقس 1,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,58486,45.33,agree,129021
r1,صفاقس 1,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,171,0.13,agree,129021
r1,صفاقس 1,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,7710,5.98,agree,129021
r1,صفاقس 1,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,12386,9.6,agree,129021
r1,صفاقس 2,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,164,0.09,agree,177744
r1,صفاقس 2,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,70,0.04,agree,177744
r1,صفاقس 2,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,1286,0.72,agree,177744
r1,صفاقس 2,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,906,0.51,agree,177744
r1,صفاقس 2,5,agree,سالم شائبي,سالم بن عمار الشائبي,143,0.08,agree,177744
r1,صفاقس 2,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,448,0.25,agree,177744
r1,صفاقس 2,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,61975,34.87,agree,177744
r1,صفاقس 2,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,4333,2.44,agree,177744
r1,صفاقس 2,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,129,0.07,agree,177744
r1,صفاقس 2,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,165,0.09,agree,177744
r1,صفاقس 2,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,1014,0.57,agree,177744
r1,صفاقس 2,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,96,0.05,agree,177744
r1,صفاقس 2,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,1835,1.03,agree,177744
r1,صفاقس 2,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,228,0.13,agree,177744
r1,صفاقس 2,15,agree,علي شورابي,علي المولدي بن محمد شورابي,108,0.06,agree,177744
r1,صفاقس 2,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,3639,2.05,agree,177744
r1,صفاقس 2,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,243,0.14,agree,177744
r1,صفاقس 2,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,132,0.07,agree,177744
r1,صفاقس 2,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,146,0.08,agree,177744
r1,صفاقس 2,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,192,0.11,agree,177744
r1,صفاقس 2,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,1016,0.57,agree,177744
r1,صفاقس 2,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,88,0.05,agree,177744
r1,صفاقس 2,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,434,0.24,agree,177744
r1,صفاقس 2,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,72321,40.69,agree,177744
r1,صفاقس 2,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,194,0.11,agree,177744
r1,صفاقس 2,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,10356,5.83,agree,177744
r1,صفاقس 2,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,16083,9.05,agree,177744
r1,قابس,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,173,0.15,agree,118182
r1,قابس,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,78,0.07,agree,118182
r1,قابس,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,337,0.29,agree,118182
r1,قابس,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,362,0.31,agree,118182
r1,قابس,5,agree,سالم شائبي,سالم بن عمار الشائبي,138,0.12,agree,118182
r1,قابس,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,575,0.49,agree,118182
r1,قابس,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,18319,15.5,agree,118182
r1,قابس,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,6389,5.41,agree,118182
r1,قابس,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,113,0.1,agree,118182
r1,قابس,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,133,0.11,agree,118182
r1,قابس,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,830,0.7,agree,118182
r1,قابس,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,112,0.09,agree,118182
r1,قابس,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,929,0.79,agree,118182
r1,قابس,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,143,0.12,agree,118182
r1,قابس,15,agree,علي شورابي,علي المولدي بن محمد شورابي,189,0.16,agree,118182
r1,قابس,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,305,0.26,agree,118182
r1,قابس,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,278,0.24,agree,118182
r1,قابس,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,129,0.11,agree,118182
r1,قابس,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,137,0.12,agree,118182
r1,قابس,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,106,0.09,agree,118182
r1,قابس,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,577,0.49,agree,118182
r1,قابس,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,95,0.08,agree,118182
r1,قابس,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,254,0.21,agree,118182
r1,قابس,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,80729,68.31,agree,118182
r1,قابس,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,121,0.1,agree,118182
r1,قابس,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,3127,2.65,agree,118182
r1,قابس,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,3504,2.96,agree,118182
r1,مدنين,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,170,0.14,agree,122342
r1,مدنين,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,91,0.07,agree,122342
r1,مدنين,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,547,0.45,agree,122342
r1,مدنين,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,529,0.43,agree,122342
r1,مدنين,5,agree,سالم شائبي,سالم بن عمار الشائبي,153,0.13,agree,122342
r1,مدنين,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,303,0.25,agree,122342
r1,مدنين,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,18475,15.1,agree,122342
r1,مدنين,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,6380,5.21,agree,122342
r1,مدنين,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,138,0.11,agree,122342
r1,مدنين,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,153,0.13,agree,122342
r1,مدنين,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,1026,0.84,agree,122342
r1,مدنين,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,105,0.09,agree,122342
r1,مدنين,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,942,0.77,agree,122342
r1,مدنين,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,184,0.15,agree,122342
r1,مدنين,15,agree,علي شورابي,علي المولدي بن محمد شورابي,246,0.2,agree,122342
r1,مدنين,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,427,0.35,agree,122342
r1,مدنين,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,423,0.35,agree,122342
r1,مدنين,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,125,0.1,agree,122342
r1,مدنين,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,137,0.11,agree,122342
r1,مدنين,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,170,0.14,agree,122342
r1,مدنين,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,825,0.67,agree,122342
r1,مدنين,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,128,0.1,agree,122342
r1,مدنين,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,330,0.27,agree,122342
r1,مدنين,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,82689,67.59,agree,122342
r1,مدنين,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,158,0.13,agree,122342
r1,مدنين,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,3658,2.99,agree,122342
r1,مدنين,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,3830,3.13,agree,122342
r1,تطاوين,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,56,0.16,agree,34201
r1,تطاوين,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,42,0.12,agree,34201
r1,تطاوين,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,83,0.24,agree,34201
r1,تطاوين,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,130,0.38,agree,34201
r1,تطاوين,5,agree,سالم شائبي,سالم بن عمار الشائبي,60,0.18,agree,34201
r1,تطاوين,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,100,0.29,agree,34201
r1,تطاوين,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,3348,9.79,agree,34201
r1,تطاوين,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,1451,4.24,agree,34201
r1,تطاوين,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,46,0.13,agree,34201
r1,تطاوين,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,51,0.15,agree,34201
r1,تطاوين,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,230,0.67,agree,34201
r1,تطاوين,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,34,0.1,agree,34201
r1,تطاوين,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,235,0.69,agree,34201
r1,تطاوين,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,50,0.15,agree,34201
r1,تطاوين,15,agree,علي شورابي,علي المولدي بن محمد شورابي,87,0.25,agree,34201
r1,تطاوين,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,125,0.37,agree,34201
r1,تطاوين,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,117,0.34,agree,34201
r1,تطاوين,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,60,0.18,agree,34201
r1,تطاوين,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,52,0.15,agree,34201
r1,تطاوين,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,46,0.13,agree,34201
r1,تطاوين,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,167,0.49,agree,34201
r1,تطاوين,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,35,0.1,agree,34201
r1,تطاوين,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,73,0.21,agree,34201
r1,تطاوين,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,26017,76.07,agree,34201
r1,تطاوين,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,65,0.19,agree,34201
r1,تطاوين,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,1126,3.29,agree,34201
r1,تطاوين,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,315,0.92,agree,34201
r1,قبلي,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,61,0.11,agree,58001
r1,قبلي,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,43,0.07,agree,58001
r1,قبلي,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,154,0.27,agree,58001
r1,قبلي,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,128,0.22,agree,58001
r1,قبلي,5,agree,سالم شائبي,سالم بن عمار الشائبي,56,0.1,agree,58001
r1,قبلي,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,91,0.16,agree,58001
r1,قبلي,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,6991,12.05,agree,58001
r1,قبلي,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,1425,2.46,agree,58001
r1,قبلي,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,106,0.18,agree,58001
r1,قبلي,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,50,0.09,agree,58001
r1,قبلي,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,307,0.53,agree,58001
r1,قبلي,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,43,0.07,agree,58001
r1,قبلي,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,234,0.4,agree,58001
r1,قبلي,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,56,0.1,agree,58001
r1,قبلي,15,agree,علي شورابي,علي المولدي بن محمد شورابي,78,0.13,agree,58001
r1,قبلي,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,85,0.15,agree,58001
r1,قبلي,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,177,0.31,agree,58001
r1,قبلي,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,95,0.16,agree,58001
r1,قبلي,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,56,0.1,agree,58001
r1,قبلي,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,39,0.07,agree,58001
r1,قبلي,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,221,0.38,agree,58001
r1,قبلي,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,65,0.11,agree,58001
