adm4_pcode,governorate_name,delegation_name,imada_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN116061,Tunis,Bardo,El Bassatine,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116062,Tunis,Bardo,Es-Saada,4,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116063,Tunis,Bardo,Ksar-El Bortal,3,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116064,Tunis,Bardo,Ibn Sina,2,1,50.0,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116151,Tunis,Sijoumi,Cite Helel,5,2,40.0,1,50.0,9.5,90.5,1,50.0,1,0,0,1,0,0,50.0,0.0,0.0,0
TN116152,Tunis,Sijoumi,Ali Belhouane,6,1,16.7,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN116153,Tunis,Sijoumi,En-Najah,4,2,50.0,0,0.0,0.0,65.8,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116154,Tunis,Sijoumi,Cite Des Martyrs,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116155,Tunis,Sijoumi,Bir Anniba,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116156,Tunis,Sijoumi,Mellassine,5,2,40.0,0,0.0,0.0,65.8,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116251,Tunis,Ezzouhour,Ezzouhour,10,2,20.0,2,100.0,34.2,100.0,2,100.0,2,0,0,2,0,0,100.0,0.0,0.0,1
TN116252,Tunis,Ezzouhour,Ezzouhour IV,3,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116253,Tunis,Ezzouhour,Es-Saada,2,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116254,Tunis,Ezzouhour,Es-Soumrane,4,1,25.0,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN116255,Tunis,Ezzouhour,Cite Tayarane,6,2,33.3,1,50.0,9.5,90.5,1,50.0,1,0,0,1,0,0,50.0,0.0,0.0,0
TN116256,Tunis,Ezzouhour,Bach-Hamba,4,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116351,Tunis,Hrairia,El-Hrairia,10,3,30.0,2,66.7,20.8,93.9,2,66.7,2,0,0,2,0,0,66.7,0.0,0.0,0
TN116352,Tunis,Hrairia,Ezzouhour V,13,2,15.4,2,100.0,34.2,100.0,2,100.0,2,0,0,2,0,0,100.0,0.0,0.0,0
TN116353,Tunis,Hrairia,El Akba,10,2,20.0,0,0.0,0.0,65.8,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
