constituency,rank,candidate,votes,share_pct,constituency_valid_votes
زغوان,21,سعيد علي مروان العايدي,101,0.19,54297
زغوان,22,أحمد الصافي سعيد,2810,5.18,54297
زغوان,23,الناجي جلول,121,0.22,54297
زغوان,24,حاتم بولبيار,79,0.15,54297
زغوان,25,عبيد بريكي,110,0.20,54297
زغوان,26,سيف الدين مخلوف,1548,2.85,54297
سليانة,1,منجي الرحوي,504,0.89,56905
سليانة,2,محمد املحرزي عبو,865,1.52,56905
سليانة,3,عبير موسي,2480,4.36,56905
سليانة,4,نبيل القروي,14528,25.53,56905
سليانة,5,محمد لطفي مرايحي,3904,6.86,56905
سليانة,6,املهدي جمعه,507,0.89,56905
سليانة,7,حمادي الجبالي,174,0.31,56905
سليانة,8,حمه الهمامي,1418,2.49,56905
سليانة,9,محمد املنصف املرزوقي,767,1.35,56905
سليانة,10,عبد الكريم زبيدي,2990,5.25,56905
سليانة,11,محسن مرزوق,235,0.41,56905
سليانة,12,محمد الصغير نوري,116,0.20,56905
سليانة,13,محمد الهاشمي حامدي,340,0.60,56905
سليانة,14,عبد الفتاح مورو,5563,9.78,56905
سليانة,15,عمر منصور,325,0.57,56905
سليانة,16,يوسف الشاهد,4743,8.33,56905
سليانة,17,قيس سعيد,13051,22.93,56905
سليانة,18,الياس الفخفاخ,192,0.34,56905
سليانة,19,سليم الرياحي,110,0.19,56905
سليانة,20,سلمه اللومي,192,0.34,56905
سليانة,21,سعيد علي مروان العايدي,147,0.26,56905
سليانة,22,أحمد الصافي سعيد,2403,4.22,56905
سليانة,23,الناجي جلول,195,0.34,56905
سليانة,24,حاتم بولبيار,107,0.19,56905
سليانة,25,عبيد بريكي,94,0.17,56905
سليانة,26,سيف الدين مخلوف,955,1.68,56905
سوسة,1,منجي الرحوي,1054,0.50,210025
سوسة,2,محمد املحرزي عبو,4416,2.10,210025
سوسة,3,عبير موسي,9188,4.37,210025
سوسة,4,نبيل القروي,29463,14.03,210025
سوسة,5,محمد لطفي مرايحي,7857,3.74,210025
سوسة,6,املهدي جمعه,3634,1.73,210025
سوسة,7,حمادي الجبالي,582,0.28,210025
سوسة,8,حمه الهمامي,1129,0.54,210025
سوسة,9,محمد املنصف املرزوقي,2913,1.39,210025
سوسة,10,عبد الكريم زبيدي,53652,25.55,210025
سوسة,11,محسن مرزوق,314,0.15,210025
سوسة,12,محمد الصغير نوري,168,0.08,210025
سوسة,13,محمد الهاشمي حامدي,742,0.35,210025
سوسة,14,عبد الفتاح مورو,21097,10.04,210025
سوسة,15,عمر منصور,250,0.12,210025
سوسة,16,يوسف الشاهد,12547,5.97,210025
سوسة,17,قيس سعيد,43496,20.71,210025
سوسة,18,الياس الفخفاخ,298,0.14,210025
سوسة,19,سليم الرياحي,202,0.10,210025
سوسة,20,سلمه اللومي,198,0.09,210025
سوسة,21,سعيد علي مروان العايدي,589,0.28,210025
سوسة,22,أحمد الصافي سعيد,8608,4.10,210025
سوسة,23,الناجي جلول,449,0.21,210025
سوسة,24,حاتم بولبيار,163,0.08,210025
سوسة,25,عبيد بريكي,183,0.09,210025
سوسة,26,سيف الدين مخلوف,6833,3.25,210025
سيدي بوزيد,1,منجي الرحوي,800,0.76,105404
سيدي بوزيد,2,محمد املحرزي عبو,1230,1.17,105404
سيدي بوزيد,3,عبير موسي,2351,2.23,105404
سيدي بوزيد,4,نبيل القروي,15954,15.14,105404
سيدي بوزيد,5,محمد لطفي مرايحي,3118,2.96,105404
سيدي بوزيد,6,املهدي جمعه,1347,1.28,105404
سيدي بوزيد,7,حمادي الجبالي,251,0.24,105404
سيدي بوزيد,8,حمه الهمامي,1752,1.66,105404
سيدي بوزيد,9,محمد املنصف املرزوقي,2364,2.24,105404
سيدي بوزيد,10,عبد الكريم زبيدي,7909,7.50,105404
سيدي بوزيد,11,محسن مرزوق,310,0.29,105404
سيدي بوزيد,12,محمد الصغير نوري,596,0.57,105404
سيدي بوزيد,13,محمد الهاشمي حامدي,11500,10.91,105404
سيدي بوزيد,14,عبد الفتاح مورو,12162,11.54,105404
سيدي بوزيد,15,عمر منصور,304,0.29,105404
سيدي بوزيد,16,يوسف الشاهد,5169,4.90,105404
سيدي بوزيد,17,قيس سعيد,19124,18.14,105404
سيدي بوزيد,18,الياس الفخفاخ,164,0.16,105404
سيدي بوزيد,19,سليم الرياحي,205,0.19,105404
سيدي بوزيد,20,سلمه اللومي,176,0.17,105404
سيدي بوزيد,21,سعيد علي مروان العايدي,150,0.14,105404
سيدي بوزيد,22,أحمد الصافي سعيد,15234,14.45,105404
سيدي بوزيد,23,الناجي جلول,236,0.22,105404
سيدي بوزيد,24,حاتم بولبيار,152,0.14,105404
سيدي بوزيد,25,عبيد بريكي,267,0.25,105404
سيدي بوزيد,26,سيف الدين مخلوف,2579,2.45,105404
صفاقس 1,1,منجي الرحوي,969,0.65,150182
صفاقس 1,2,محمد املحرزي عبو,6806,4.53,150182
صفاقس 1,3,عبير موسي,4401,2.93,150182
صفاقس 1,4,نبيل القروي,19489,12.98,150182
صفاقس 1,5,محمد لطفي مرايحي,11667,7.77,150182
صفاقس 1,6,املهدي جمعه,1805,1.20,150182
صفاقس 1,7,حمادي الجبالي,270,0.18,150182
صفاقس 1,8,حمه الهمامي,1303,0.87,150182
صفاقس 1,9,محمد املنصف املرزوقي,3419,2.28,150182
صفاقس 1,10,عبد الكريم زبيدي,8502,5.66,150182
صفاقس 1,11,محسن مرزوق,313,0.21,150182
صفاقس 1,12,محمد الصغير نوري,142,0.09,150182
صفاقس 1,13,محمد الهاشمي حامدي,695,0.46,150182
صفاقس 1,14,عبد الفتاح مورو,23382,15.57,150182
صفاقس 1,15,عمر منصور,195,0.13,150182
صفاقس 1,16,يوسف الشاهد,8768,5.84,150182
صفاقس 1,17,قيس سعيد,36316,24.18,150182
صفاقس 1,18,الياس الفخفاخ,1314,0.87,150182
صفاقس 1,19,سليم الرياحي,146,0.10,150182
صفاقس 1,20,سلمه اللومي,146,0.10,150182
صفاقس 1,21,سعيد علي مروان العايدي,568,0.38,150182
صفاقس 1,22,أحمد الصافي سعيد,10944,7.29,150182
صفاقس 1,23,الناجي جلول,190,0.13,150182
صفاقس 1,24,حاتم بولبيار,152,0.10,150182
صفاقس 1,25,عبيد بريكي,196,0.13,150182
صفاقس 1,26,سيف الدين مخلوف,8084,5.38,150182
صفاقس 2,1,منجي الرحوي,882,0.50,194838
صفاقس 2,2,محمد املحرزي عبو,11500,5.90,194838
صفاقس 2,3,عبير موسي,6434,3.30,194838
صفاقس 2,4,نبيل القروي,21858,11.20,194838
صفاقس 2,5,محمد لطفي مرايحي,18334,9.40,194838
صفاقس 2,6,املهدي جمعه,2707,1.40,194838
صفاقس 2,7,حمادي الجبالي,326,0.20,194838
صفاقس 2,8,حمه الهمامي,956,0.50,194838
صفاقس 2,9,محمد املنصف املرزوقي,4720,2.40,194838
صفاقس 2,10,عبد الكريم زبيدي,15812,8.10,194838
صفاقس 2,11,محسن مرزوق,460,0.20,194838
صفاقس 2,12,محمد الصغير نوري,169,0.10,194838
صفاقس 2,13,محمد الهاشمي حامدي,897,0.50,194838
صفاقس 2,14,عبد الفتاح مورو,25509,13.10,194838
صفاقس 2,15,عمر منصور,220,0.10,194838
صفاقس 2,16,يوسف الشاهد,14456,7.40,194838
صفاقس 2,17,قيس سعيد,39602,20.30,194838
صفاقس 2,18,الياس الفخفاخ,2381,1.20,194838
صفاقس 2,19,سليم الرياحي,186,0.10,194838
صفاقس 2,20,سلمه اللومي,163,0.10,194838
صفاقس 2,21,سعيد علي مروان العايدي,1106,0.60,194838
صفاقس 2,22,أحمد الصافي سعيد,14321,7.40,194838
صفاقس 2,23,الناجي جلول,214,0.10,194838
صفاقس 2,24,حاتم بولبيار,148,0.10,194838
صفاقس 2,25,عبيد بريكي,209,0.10,194838
صفاقس 2,26,سيف الدين مخلوف,11268,5.80,194838
فرنسا 1,1,منجي الرحوي,271,0.95,28450
فرنسا 1,2,محمد املحرزي عبو,3056,10.74,28450
فرنسا 1,3,عبير موسي,1162,4.08,28450
فرنسا 1,4,نبيل القروي,1472,5.17,28450
فرنسا 1,5,محمد لطفي مرايحي,1762,6.19,28450
فرنسا 1,6,املهدي جمعه,1191,4.19,28450
فرنسا 1,7,حمادي الجبالي,80,0.28,28450
فرنسا 1,8,حمه الهمامي,275,0.97,28450
فرنسا 1,9,محمد املنصف املرزوقي,2174,7.64,28450
فرنسا 1,10,عبد الكريم زبيدي,4696,16.51,28450
فرنسا 1,11,محسن مرزوق,88,0.31,28450
فرنسا 1,12,محمد الصغير نوري,16,0.06,28450
فرنسا 1,13,محمد الهاشمي حامدي,43,0.15,28450
فرنسا 1,14,عبد الفتاح مورو,4403,15.48,28450
فرنسا 1,15,عمر منصور,42,0.15,28450
فرنسا 1,16,يوسف الشاهد,2376,8.35,28450
فرنسا 1,17,قيس سعيد,1585,5.57,28450
فرنسا 1,18,الياس الفخفاخ,257,0.90,28450
فرنسا 1,19,سليم الرياحي,15,0.05,28450
فرنسا 1,20,سلمه اللومي,49,0.17,28450
فرنسا 1,21,سعيد علي مروان العايدي,298,1.05,28450
فرنسا 1,22,أحمد الصافي سعيد,1283,4.51,28450
فرنسا 1,23,الناجي جلول,42,0.15,28450
فرنسا 1,24,حاتم بولبيار,15,0.05,28450
فرنسا 1,25,عبيد بريكي,45,0.16,28450
فرنسا 1,26,سيف الدين مخلوف,1754,6.17,28450
فرنسا 2,1,منجي الرحوي,237,1.25,18896
فرنسا 2,2,محمد املحرزي عبو,884,4.68,18896
فرنسا 2,3,عبير موسي,1230,6.51,18896
فرنسا 2,4,نبيل القروي,2816,14.90,18896
فرنسا 2,5,محمد لطفي مرايحي,1225,6.48,18896
فرنسا 2,6,املهدي جمعه,550,2.91,18896
فرنسا 2,7,حمادي الجبالي,72,0.38,18896
فرنسا 2,8,حمه الهمامي,178,0.94,18896
فرنسا 2,9,محمد املنصف املرزوقي,1384,7.32,18896
فرنسا 2,10,عبد الكريم زبيدي,2426,12.84,18896
فرنسا 2,11,محسن مرزوق,58,0.31,18896
فرنسا 2,12,محمد الصغير نوري,16,0.08,18896
فرنسا 2,13,محمد الهاشمي حامدي,61,0.32,18896
فرنسا 2,14,عبد الفتاح مورو,2550,13.49,18896
فرنسا 2,15,عمر منصور,24,0.13,18896
فرنسا 2,16,يوسف الشاهد,1305,6.91,18896
فرنسا 2,17,قيس سعيد,1495,7.91,18896
فرنسا 2,18,الياس الفخفاخ,65,0.34,18896
فرنسا 2,19,سليم الرياحي,34,0.18,18896
فرنسا 2,20,سلمه اللومي,55,0.29,18896
فرنسا 2,21,سعيد علي مروان العايدي,92,0.49,18896
فرنسا 2,22,أحمد الصافي سعيد,915,4.84,18896
فرنسا 2,23,الناجي جلول,61,0.32,18896
فرنسا 2,24,حاتم بولبيار,25,0.13,18896
فرنسا 2,25,عبيد بريكي,20,0.11,18896
فرنسا 2,26,سيف الدين مخلوف,1118,5.92,18896
قابس,1,منجي الرحوي,510,0.47,109278
قابس,2,محمد املحرزي عبو,2334,2.14,109278
قابس,3,عبير موسي,1872,1.71,109278
قابس,4,نبيل القروي,8372,7.66,109278
قابس,5,محمد لطفي مرايحي,3817,3.49,109278
قابس,6,املهدي جمعه,710,0.65,109278
قابس,7,حمادي الجبالي,414,0.38,109278
قابس,8,حمه الهمامي,566,0.52,109278
قابس,9,محمد املنصف املرزوقي,10463,9.57,109278
قابس,10,عبد الكريم زبيدي,4938,4.52,109278
قابس,11,محسن مرزوق,229,0.21,109278
قابس,12,محمد الصغير نوري,165,0.15,109278
قابس,13,محمد الهاشمي حامدي,501,0.46,109278
قابس,14,عبد الفتاح مورو,24099,22.05,109278
قابس,15,عمر منصور,274,0.25,109278
قابس,16,يوسف الشاهد,5790,5.30,109278
قابس,17,قيس سعيد,20541,18.80,109278
قابس,18,الياس الفخفاخ,422,0.39,109278
قابس,19,سليم الرياحي,176,0.16,109278
قابس,20,سلمه اللومي,156,0.14,109278
قابس,21,سعيد علي مروان العايدي,168,0.15,109278
قابس,22,أحمد الصافي سعيد,13907,12.73,109278
قابس,23,الناجي جلول,180,0.16,109278
قابس,24,حاتم بولبيار,135,0.12,109278
قابس,25,عبيد بريكي,190,0.17,109278
قابس,26,سيف الدين مخلوف,8349,7.64,109278
قبلي,1,منجي الرحوي,241,0.41,58893
قبلي,2,محمد املحرزي عبو,644,1.09,58893
قبلي,3,عبير موسي,1392,2.36,58893
قبلي,4,نبيل القروي,2979,5.06,58893
قبلي,5,محمد لطفي مرايحي,605,1.03,58893
قبلي,6,املهدي جمعه,354,0.60,58893
قبلي,7,حمادي الجبالي,208,0.35,58893
قبلي,8,حمه الهمامي,513,0.87,58893
قبلي,9,محمد املنصف املرزوقي,18326,31.12,58893
قبلي,10,عبد الكريم زبيدي,1933,3.28,58893
قبلي,11,محسن مرزوق,110,0.19,58893
قبلي,12,محمد الصغير نوري,98,0.17,58893
قبلي,13,محمد الهاشمي حامدي,146,0.25,58893
قبلي,14,عبد الفتاح مورو,9756,16.57,58893
قبلي,15,عمر منصور,85,0.14,58893
قبلي,16,يوسف الشاهد,2097,3.56,58893
قبلي,17,قيس سعيد,6558,11.14,58893
قبلي,18,الياس الفخفاخ,506,0.86,58893
قبلي,19,سليم الرياحي,89,0.15,58893
قبلي,20,سلمه اللومي,99,0.17,58893
قبلي,21,سعيد علي مروان العايدي,49,0.08,58893
قبلي,22,أحمد الصافي سعيد,6638,11.27,58893
قبلي,23,الناجي جلول,77,0.13,58893
قبلي,24,حاتم بولبيار,51,0.09,58893
قبلي,25,عبيد بريكي,110,0.19,58893
قبلي,26,سيف الدين مخلوف,5229,8.88,58893
قفصة,1,منجي الرحوي,702,0.65,107989
قفصة,2,محمد املحرزي عبو,1249,1.16,107989
قفصة,3,عبير موسي,1570,1.45,107989
قفصة,4,نبيل القروي,11073,10.25,107989
قفصة,5,محمد لطفي مرايحي,1096,1.01,107989
قفصة,6,املهدي جمعه,391,0.36,107989
قفصة,7,حمادي الجبالي,224,0.21,107989
قفصة,8,حمه الهمامي,1011,0.94,107989
قفصة,9,محمد املنصف املرزوقي,2043,1.89,107989
قفصة,10,عبد الكريم زبيدي,3239,3.00,107989
قفصة,11,محسن مرزوق,164,0.15,107989
قفصة,12,محمد الصغير نوري,110,0.10,107989
قفصة,13,محمد الهاشمي حامدي,582,0.54,107989
قفصة,14,عبد الفتاح مورو,11421,10.58,107989
قفصة,15,عمر منصور,215,0.20,107989
قفصة,16,يوسف الشاهد,5270,4.88,107989
قفصة,17,قيس سعيد,7181,6.65,107989
قفصة,18,الياس الفخفاخ,140,0.13,107989
قفصة,19,سليم الرياحي,120,0.11,107989
قفصة,20,سلمه اللومي,69,0.06,107989
قفصة,21,سعيد علي مروان العايدي,183,0.17,107989
قفصة,22,أحمد الصافي سعيد,57238,53.00,107989
قفصة,23,الناجي جلول,206,0.19,107989
قفصة,24,حاتم بولبيار,101,0.09,107989
قفصة,25,عبيد بريكي,797,0.74,107989
قفصة,26,سيف الدين مخلوف,1594,1.48,107989
مدنني,1,منجي الرحوي,692,0.55,126153
مدنني,2,محمد املحرزي عبو,3675,2.91,126153
مدنني,3,عبير موسي,2183,1.73,126153
مدنني,4,نبيل القروي,6113,4.85,126153
مدنني,5,محمد لطفي مرايحي,2312,1.83,126153
مدنني,6,املهدي جمعه,1298,1.03,126153
مدنني,7,حمادي الجبالي,522,0.41,126153
مدنني,8,حمه الهمامي,449,0.36,126153
مدنني,9,محمد املنصف املرزوقي,12471,9.89,126153
مدنني,10,عبد الكريم زبيدي,4121,3.27,126153
مدنني,11,محسن مرزوق,224,0.18,126153
مدنني,12,محمد الصغير نوري,164,0.13,126153
مدنني,13,محمد الهاشمي حامدي,598,0.47,126153
مدنني,14,عبد الفتاح مورو,32512,25.77,126153
مدنني,15,عمر منصور,226,0.18,126153
مدنني,16,يوسف الشاهد,11781,9.34,126153
مدنني,17,قيس سعيد,19907,15.78,126153
مدنني,18,الياس الفخفاخ,399,0.32,126153
مدنني,19,سليم الرياحي,183,0.15,126153
مدنني,20,سلمه اللومي,153,0.12,126153
مدنني,21,سعيد علي مروان العايدي,180,0.14,126153
مدنني,22,أحمد الصافي سعيد,10773,8.54,126153
مدنني,23,الناجي جلول,157,0.12,126153
مدنني,24,حاتم بولبيار,162,0.13,126153
مدنني,25,عبيد بريكي,615,0.49,126153
مدنني,26,سيف الدين مخلوف,14283,11.32,126153
منوبة,1,منجي الرحوي,859,0.78,109982
منوبة,2,محمد املحرزي عبو,5543,5.04,109982
منوبة,3,عبير موسي,4067,3.70,109982
منوبة,4,نبيل القروي,20185,18.35,109982
منوبة,5,محمد لطفي مرايحي,6493,5.90,109982
منوبة,6,املهدي جمعه,1529,1.39,109982
منوبة,7,حمادي الجبالي,215,0.20,109982
منوبة,8,حمه الهمامي,711,0.65,109982
منوبة,9,محمد املنصف املرزوقي,1708,1.55,109982
منوبة,10,عبد الكريم زبيدي,7847,7.13,109982
منوبة,11,محسن مرزوق,249,0.23,109982
منوبة,12,محمد الصغير نوري,147,0.13,109982
منوبة,13,محمد الهاشمي حامدي,346,0.31,109982
منوبة,14,عبد الفتاح مورو,16110,14.65,109982
منوبة,15,عمر منصور,494,0.45,109982
منوبة,16,يوسف الشاهد,9789,8.90,109982
منوبة,17,قيس سعيد,21792,19.81,109982
منوبة,18,الياس الفخفاخ,199,0.18,109982
منوبة,19,سليم الرياحي,167,0.15,109982
منوبة,20,سلمه اللومي,158,0.14,109982
منوبة,21,سعيد علي مروان العايدي,257,0.23,109982
منوبة,22,أحمد الصافي سعيد,6000,5.46,109982
منوبة,23,الناجي جلول,244,0.22,109982
منوبة,24,حاتم بولبيار,119,0.11,109982
منوبة,25,عبيد بريكي,179,0.16,109982
منوبة,26,سيف الدين مخلوف,4575,4.16,109982
نابل 1,1,منجي الرحوي,943,0.62,151793
نابل 1,2,محمد املحرزي عبو,5761,3.80,151793
نابل 1,3,عبير موسي,10009,6.59,151793
نابل 1,4,نبيل القروي,28032,18.47,151793
نابل 1,5,محمد لطفي مرايحي,12073,7.95,151793
نابل 1,6,املهدي جمعه,2355,1.55,151793
نابل 1,7,حمادي الجبالي,211,0.14,151793
نابل 1,8,حمه الهمامي,1206,0.79,151793
نابل 1,9,محمد املنصف املرزوقي,1301,0.86,151793
نابل 1,10,عبد الكريم زبيدي,14423,9.50,151793
نابل 1,11,محسن مرزوق,299,0.20,151793
نابل 1,12,محمد الصغير نوري,187,0.12,151793
نابل 1,13,محمد الهاشمي حامدي,410,0.27,151793
نابل 1,14,عبد الفتاح مورو,14371,9.47,151793
نابل 1,15,عمر منصور,308,0.20,151793
نابل 1,16,يوسف الشاهد,9948,6.55,151793
نابل 1,17,قيس سعيد,36084,23.77,151793
نابل 1,18,الياس الفخفاخ,367,0.24,151793
نابل 1,19,سليم الرياحي,202,0.13,151793
نابل 1,20,سلمه اللومي,575,0.38,151793
نابل 1,21,سعيد علي مروان العايدي,543,0.36,151793
نابل 1,22,أحمد الصافي سعيد,7374,4.86,151793
نابل 1,23,الناجي جلول,310,0.20,151793
نابل 1,24,حاتم بولبيار,199,0.13,151793
نابل 1,25,عبيد بريكي,182,0.12,151793
نابل 1,26,سيف الدين مخلوف,4120,2.71,151793
نابل 2,1,منجي الرحوي,710,0.62,113814
نابل 2,2,محمد املحرزي عبو,3623,3.18,113814
نابل 2,3,عبير موسي,6904,6.07,113814
نابل 2,4,نبيل القروي,24504,21.53,113814
نابل 2,5,محمد لطفي مرايحي,6287,5.52,113814
نابل 2,6,املهدي جمعه,1813,1.59,113814
نابل 2,7,حمادي الجبالي,192,0.17,113814
نابل 2,8,حمه الهمامي,840,0.74,113814
نابل 2,9,محمد املنصف املرزوقي,1645,1.45,113814
نابل 2,10,عبد الكريم زبيدي,10634,9.34,113814
نابل 2,11,محسن مرزوق,223,0.20,113814
نابل 2,12,محمد الصغير نوري,129,0.11,113814
نابل 2,13,محمد الهاشمي حامدي,330,0.29,113814
نابل 2,14,عبد الفتاح مورو,10598,9.31,113814
نابل 2,15,عمر منصور,261,0.23,113814
نابل 2,16,يوسف الشاهد,11250,9.88,113814
نابل 2,17,قيس سعيد,23064,20.26,113814
نابل 2,18,الياس الفخفاخ,241,0.21,113814
نابل 2,19,سليم الرياحي,177,0.16,113814
نابل 2,20,سلمه اللومي,192,0.17,113814
نابل 2,21,سعيد علي مروان العايدي,299,0.26,113814
نابل 2,22,أحمد الصافي سعيد,5511,4.84,113814
نابل 2,23,الناجي جلول,303,0.27,113814
نابل 2,24,حاتم بولبيار,119,0.10,113814
نابل 2,25,عبيد بريكي,131,0.12,113814
نابل 2,26,سيف الدين مخلوف,3834,3.37,113814
