procedure,reference_number,reference_year,year_published,month_published,language,title_from_filename,title_from_ocr,source_file,drive_id,source_url
cahier des charges,,,2023,11,mixed,كراس شروط المتعلق بالتفويت في مواد بلاستيكية زال الانتفاع بها,,كراس-شروط-المتعلّق-بالتفويت-في-مواد-بلاستيكية-زال-الانتفاع-بها.pdf,1yEP15aEvCa-6rde4y5V-bpWEwfADGovk,https://drive.google.com/uc?export=download&id=1yEP15aEvCa-6rde4y5V-bpWEwfADGovk
consultation,123,2023,2023,12,fr,CONS 123 2023 Ordinateurs et ecrans TV,,CONS-123-2023-Ordinateurs-et-ecrans-TV.pdf,1wYIw4BlBZzqM_Mcr3BIMN4MZq6QKYjlQ,https://drive.google.com/uc?export=download&id=1wYIw4BlBZzqM_Mcr3BIMN4MZq6QKYjlQ
appel d'offres,01,2024,2024,01,fr,CC AO01 2024,,CC-AO01-2024.pdf,1WprZEirAdW4Jp29mCw1SZCjQf5PHNIua,https://drive.google.com/uc?export=download&id=1WprZEirAdW4Jp29mCw1SZCjQf5PHNIua
appel d'offres,2,2024,2024,01,fr,CC AO2 2024,,CC-AO2-2024.pdf,1wXfv4RYKLOn0EcFKa211prsU_JscLlY0,https://drive.google.com/uc?export=download&id=1wXfv4RYKLOn0EcFKa211prsU_JscLlY0
cahier des charges,10,2024,2024,02,fr,CAHIER DE CHARGES CONS10 2024,,CAHIER-DE-CHARGES-CONS10-2024.pdf,1fLQTJsOYwQZpzhcuIfJ09hQpBLoKZanz,https://drive.google.com/uc?export=download&id=1fLQTJsOYwQZpzhcuIfJ09hQpBLoKZanz
cahier des charges,,,2024,02,mixed,كراس شروط تفويت في وسائل نقل 2024,,كراس-شروط-تفويت-في-وسائل-نقل-2024.pdf,13Ya-qZzCa1GLrKawFFOEsUeB7J_BleVs,https://drive.google.com/uc?export=download&id=13Ya-qZzCa1GLrKawFFOEsUeB7J_BleVs
appel d'offres,3,2024,2024,05,fr,CAHIER DE CHARGES AO 3 2024,,CAHIER-DE-CHARGES-AO-3-2024.pdf,1pbDU_6KBd2ik1Bq8Tz_DYXEncjMIiRxy,https://drive.google.com/uc?export=download&id=1pbDU_6KBd2ik1Bq8Tz_DYXEncjMIiRxy
cahier des charges,,,2024,05,mixed,كراس شروط تفويت في مواد بلاستيكية للمرة الثانية,,كراس-شروط-تفويت-في-مواد-بلاستيكية-للمرة-الثانية.pdf,1qJnAuEM5-nDit1HgBTOWI27oWbdkRMgO,https://drive.google.com/uc?export=download&id=1qJnAuEM5-nDit1HgBTOWI27oWbdkRMgO
cahier des charges,,,2024,05,mixed,كراس شروط تفويت في وسائل نقل للمرة الثانية 2024,,كراس-شروط-تفويت-في-وسائل-نقل-للمرة-الثانية-2024.pdf,1vi9GKSLEvy-Ei6FV7MR2blKaODQxqFZo,https://drive.google.com/uc?export=download&id=1vi9GKSLEvy-Ei6FV7MR2blKaODQxqFZo
consultation,46,2024,2024,06,fr,CONS 46 2024,,CONS-46-2024.pdf,1bqFZv4oH_nGhiXVxQFKvLdNVdALERdDY,https://drive.google.com/uc?export=download&id=1bqFZv4oH_nGhiXVxQFKvLdNVdALERdDY
consultation,47,2024,2024,06,fr,Cahier des Charges de Consultation n°47 2024,,Cahier-des-Charges-de-Consultation-n°47-2024.pdf,113-fE5CPBZ2GrpOSkTUodBJ0YirhrSV7,https://drive.google.com/uc?export=download&id=113-fE5CPBZ2GrpOSkTUodBJ0YirhrSV7
appel d'offres,6,2024,2024,07,ar,CAO AO6 2024 ar,,CAO-AO6-2024-ar.pdf,12cdacc66LNAF4kP-3LFp5UphNxjmi1bA,https://drive.google.com/uc?export=download&id=12cdacc66LNAF4kP-3LFp5UphNxjmi1bA
cahier des charges,65,2024,2024,07,fr,CC 65 2024,,CC-65-2024.pdf,1kCgQGTTIpxqgubNm18TA6-wV679L1PgY,https://drive.google.com/uc?export=download&id=1kCgQGTTIpxqgubNm18TA6-wV679L1PgY
appel d'offres,04,2024,2024,07,fr,CC AO 04 2024 FR,,CC-AO-04-2024-FR.pdf,1o8nBwps7KDWiW7pjEhJhMY45KrCTIELg,https://drive.google.com/uc?export=download&id=1o8nBwps7KDWiW7pjEhJhMY45KrCTIELg
appel d'offres,7,2024,2024,07,ar,CC AO7 2024 ar,,CC-AO7-2024-ar.pdf,1yX8-p_oB318F2y0LXiljfzkTgg3t92dX,https://drive.google.com/uc?export=download&id=1yX8-p_oB318F2y0LXiljfzkTgg3t92dX
appel d'offres simplifié,5,2024,2024,07,fr,CC AOS 5 2024,,CC-AOS-5-2024.pdf,1pGLfteqKukV4VqYbu-bUVy8AjZ2Ti6EW,https://drive.google.com/uc?export=download&id=1pGLfteqKukV4VqYbu-bUVy8AjZ2Ti6EW
consultation,50,2024,2024,07,fr,consultation n°50 2024,,consultation-n°50-2024.pdf,1dbWEvARGBvL3KBJDwC83izuieibEFYD_,https://drive.google.com/uc?export=download&id=1dbWEvARGBvL3KBJDwC83izuieibEFYD_
other,,,2024,08,fr,CAOCCAP,,CAOCCAP.pdf,1yg3GIF9GzGbaYfripXYOSKgkeAFMA9j5,https://drive.google.com/uc?export=download&id=1yg3GIF9GzGbaYfripXYOSKgkeAFMA9j5
appel d'offres,08,2024,2024,08,fr,CC AO 08 2024,,CC-AO-08-2024.pdf,1BN6wDAFTQozAC7ktEsyL-7n8mcwY9749,https://drive.google.com/uc?export=download&id=1BN6wDAFTQozAC7ktEsyL-7n8mcwY9749
cahier des charges,79,2024,2024,09,fr,CC 79 2024,,CC-79-2024.pdf,1n-tIHjom6u6bQSPgDtmkNJHGig1wJPt0,https://drive.google.com/uc?export=download&id=1n-tIHjom6u6bQSPgDtmkNJHGig1wJPt0
cahier des charges,11,2024,2024,09,fr,CC AOS11 2024,,CC-AOS11-2024.pdf,1h8ATBZkYIvq95NUYpqjBNw3ls6exQACh,https://drive.google.com/uc?export=download&id=1h8ATBZkYIvq95NUYpqjBNw3ls6exQACh
